"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",54.4,
"ITA","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",66,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",65.7,
"LUX","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",94.8,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",30.3,
"NZL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",52.4,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",3.9,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",26.2,
"BRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"IDN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",70.7,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",47.6,
"SVN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",86.1,
"ZAF","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"FIN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",96.2,
"GRC","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",45.6,
"IRL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",81.8,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",34,
"KOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",29.3,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",5.2,
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",47.6,
"IDN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",29.3,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",13.9,
"ZAF","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"AUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",44.9,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",4.7,
"CAN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",54.9,
"CZE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",20.7,
"FRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",20.2,
"CHE","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"USA","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",37.8,
"ARG","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"CHL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",65.4,
"RUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",63.5,
"SAU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"JPN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",34.3,
"MEX","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",69.7,
"NLD","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",29.5,
"NOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",96.1,
"POL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",22.4,
"SVK","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",73.8,
"ESP","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",26.9,
"TUR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",19.6,
"BRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"IND","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"ISR","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",52.4,
"BEL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",89.9,
"DNK","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"FIN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",3.8,
"DEU","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",85.9,
"GRC","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"ISL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",90.6,
"IRL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",18.2,
"KOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",70.7,
"CHN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"AUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",55.1,
"CAN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",45.1,
"PRT","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",54.3,
"SWE","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",89.3,
"CHE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"GBR","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",56.9,
"USA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",62.2,
"ARG","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"EST","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",78.2,
"RUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",36.5,
"NLD","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",70.5,
"POL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",77.6,
"PRT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",45.7,
"ESP","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",73.1,
"SWE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",10.7,
"TUR","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",80.4,
"GBR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",43.1,
"EST","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",21.8,
