"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHFA","CURDEP","PC_HHFA","A","1995",24.54321,
"AUS","HHFA","CURDEP","PC_HHFA","A","1996",23.65855,
"AUS","HHFA","CURDEP","PC_HHFA","A","1997",22.49106,
"AUS","HHFA","CURDEP","PC_HHFA","A","1998",21.30806,
"AUS","HHFA","CURDEP","PC_HHFA","A","1999",19.32477,
"AUS","HHFA","CURDEP","PC_HHFA","A","2000",19.53623,
"AUS","HHFA","CURDEP","PC_HHFA","A","2001",19.99957,
"AUS","HHFA","CURDEP","PC_HHFA","A","2002",21.08842,
"AUS","HHFA","CURDEP","PC_HHFA","A","2003",21.50994,
"AUS","HHFA","CURDEP","PC_HHFA","A","2004",18.99242,
"AUS","HHFA","CURDEP","PC_HHFA","A","2005",17.44263,
"AUS","HHFA","CURDEP","PC_HHFA","A","2006",16.9073,
"AUS","HHFA","CURDEP","PC_HHFA","A","2007",17.11421,
"AUS","HHFA","CURDEP","PC_HHFA","A","2008",23.80522,
"AUS","HHFA","CURDEP","PC_HHFA","A","2009",22.12732,
"AUS","HHFA","CURDEP","PC_HHFA","A","2010",23.01667,
"AUS","HHFA","CURDEP","PC_HHFA","A","2011",24.29554,
"AUS","HHFA","CURDEP","PC_HHFA","A","2012",22.65555,
"AUS","HHFA","CURDEP","PC_HHFA","A","2013",22.20802,
"AUS","HHFA","CURDEP","PC_HHFA","A","2014",22.19666,
"AUT","HHFA","CURDEP","PC_HHFA","A","1995",53.00537,
"AUT","HHFA","CURDEP","PC_HHFA","A","1996",52.2233,
"AUT","HHFA","CURDEP","PC_HHFA","A","1997",51.08856,
"AUT","HHFA","CURDEP","PC_HHFA","A","1998",49.87291,
"AUT","HHFA","CURDEP","PC_HHFA","A","1999",48.89753,
"AUT","HHFA","CURDEP","PC_HHFA","A","2000",46.499,
"AUT","HHFA","CURDEP","PC_HHFA","A","2001",46.6112,
"AUT","HHFA","CURDEP","PC_HHFA","A","2002",47.04494,
"AUT","HHFA","CURDEP","PC_HHFA","A","2003",46.67814,
"AUT","HHFA","CURDEP","PC_HHFA","A","2004",45.23087,
"AUT","HHFA","CURDEP","PC_HHFA","A","2005",42.50443,
"AUT","HHFA","CURDEP","PC_HHFA","A","2006",40.59071,
"AUT","HHFA","CURDEP","PC_HHFA","A","2007",40.80236,
"AUT","HHFA","CURDEP","PC_HHFA","A","2008",44.52099,
"AUT","HHFA","CURDEP","PC_HHFA","A","2009",43.22541,
"AUT","HHFA","CURDEP","PC_HHFA","A","2010",41.88396,
"AUT","HHFA","CURDEP","PC_HHFA","A","2011",42.60176,
"AUT","HHFA","CURDEP","PC_HHFA","A","2012",41.77462,
"AUT","HHFA","CURDEP","PC_HHFA","A","2013",40.98277,
"AUT","HHFA","CURDEP","PC_HHFA","A","2014",41.02217,
"BEL","HHFA","CURDEP","PC_HHFA","A","1995",27.78868,
"BEL","HHFA","CURDEP","PC_HHFA","A","1996",27.15775,
"BEL","HHFA","CURDEP","PC_HHFA","A","1997",26.92654,
"BEL","HHFA","CURDEP","PC_HHFA","A","1998",25.82894,
"BEL","HHFA","CURDEP","PC_HHFA","A","1999",23.50575,
"BEL","HHFA","CURDEP","PC_HHFA","A","2000",23.5345,
"BEL","HHFA","CURDEP","PC_HHFA","A","2001",23.44525,
"BEL","HHFA","CURDEP","PC_HHFA","A","2002",26.32394,
"BEL","HHFA","CURDEP","PC_HHFA","A","2003",27.18741,
"BEL","HHFA","CURDEP","PC_HHFA","A","2004",27.82123,
"BEL","HHFA","CURDEP","PC_HHFA","A","2005",27.35756,
"BEL","HHFA","CURDEP","PC_HHFA","A","2006",27.57976,
"BEL","HHFA","CURDEP","PC_HHFA","A","2007",27.55579,
"BEL","HHFA","CURDEP","PC_HHFA","A","2008",30.53503,
"BEL","HHFA","CURDEP","PC_HHFA","A","2009",29.732,
"BEL","HHFA","CURDEP","PC_HHFA","A","2010",30.05113,
"BEL","HHFA","CURDEP","PC_HHFA","A","2011",29.85441,
"BEL","HHFA","CURDEP","PC_HHFA","A","2012",30.40055,
"BEL","HHFA","CURDEP","PC_HHFA","A","2013",30.87044,
"BEL","HHFA","CURDEP","PC_HHFA","A","2014",30.89977,
"CAN","HHFA","CURDEP","PC_HHFA","A","1995",29.55918,
"CAN","HHFA","CURDEP","PC_HHFA","A","1996",26.93194,
"CAN","HHFA","CURDEP","PC_HHFA","A","1997",24.23063,
"CAN","HHFA","CURDEP","PC_HHFA","A","1998",23.6897,
"CAN","HHFA","CURDEP","PC_HHFA","A","1999",22.57549,
"CAN","HHFA","CURDEP","PC_HHFA","A","2000",22.07521,
"CAN","HHFA","CURDEP","PC_HHFA","A","2001",22.71504,
"CAN","HHFA","CURDEP","PC_HHFA","A","2002",24.85982,
"CAN","HHFA","CURDEP","PC_HHFA","A","2003",24.32037,
"CAN","HHFA","CURDEP","PC_HHFA","A","2004",23.87525,
"CAN","HHFA","CURDEP","PC_HHFA","A","2005",22.0785,
"CAN","HHFA","CURDEP","PC_HHFA","A","2006",21.61099,
"CAN","HHFA","CURDEP","PC_HHFA","A","2007",21.96971,
"CAN","HHFA","CURDEP","PC_HHFA","A","2008",26.56437,
"CAN","HHFA","CURDEP","PC_HHFA","A","2009",25.53562,
"CAN","HHFA","CURDEP","PC_HHFA","A","2010",24.88878,
"CAN","HHFA","CURDEP","PC_HHFA","A","2011",25.83188,
"CAN","HHFA","CURDEP","PC_HHFA","A","2012",25.12054,
"CAN","HHFA","CURDEP","PC_HHFA","A","2013",24.15446,
"CAN","HHFA","CURDEP","PC_HHFA","A","2014",23.28222,
"CZE","HHFA","CURDEP","PC_HHFA","A","1995",39.22245,
"CZE","HHFA","CURDEP","PC_HHFA","A","1996",41.49973,
"CZE","HHFA","CURDEP","PC_HHFA","A","1997",46.42855,
"CZE","HHFA","CURDEP","PC_HHFA","A","1998",47.3877,
"CZE","HHFA","CURDEP","PC_HHFA","A","1999",47.72061,
"CZE","HHFA","CURDEP","PC_HHFA","A","2000",49.83618,
"CZE","HHFA","CURDEP","PC_HHFA","A","2001",51.05938,
"CZE","HHFA","CURDEP","PC_HHFA","A","2002",49.70581,
"CZE","HHFA","CURDEP","PC_HHFA","A","2003",48.33982,
"CZE","HHFA","CURDEP","PC_HHFA","A","2004",50.78027,
"CZE","HHFA","CURDEP","PC_HHFA","A","2005",50.37582,
"CZE","HHFA","CURDEP","PC_HHFA","A","2006",51.11465,
"CZE","HHFA","CURDEP","PC_HHFA","A","2007",51.34568,
"CZE","HHFA","CURDEP","PC_HHFA","A","2008",52.93822,
"CZE","HHFA","CURDEP","PC_HHFA","A","2009",53.70193,
"CZE","HHFA","CURDEP","PC_HHFA","A","2010",52.30387,
"CZE","HHFA","CURDEP","PC_HHFA","A","2011",53.83215,
"CZE","HHFA","CURDEP","PC_HHFA","A","2012",51.34692,
"CZE","HHFA","CURDEP","PC_HHFA","A","2013",51.3619,
"CZE","HHFA","CURDEP","PC_HHFA","A","2014",50.90269,
"DNK","HHFA","CURDEP","PC_HHFA","A","1995",24.38848,
"DNK","HHFA","CURDEP","PC_HHFA","A","1996",23.0297,
"DNK","HHFA","CURDEP","PC_HHFA","A","1997",21.84105,
"DNK","HHFA","CURDEP","PC_HHFA","A","1998",21.54174,
"DNK","HHFA","CURDEP","PC_HHFA","A","1999",19.54057,
"DNK","HHFA","CURDEP","PC_HHFA","A","2000",19.4716,
"DNK","HHFA","CURDEP","PC_HHFA","A","2001",20.90249,
"DNK","HHFA","CURDEP","PC_HHFA","A","2002",21.50083,
"DNK","HHFA","CURDEP","PC_HHFA","A","2003",21.40712,
"DNK","HHFA","CURDEP","PC_HHFA","A","2004",20.96717,
"DNK","HHFA","CURDEP","PC_HHFA","A","2005",18.87913,
"DNK","HHFA","CURDEP","PC_HHFA","A","2006",18.13074,
"DNK","HHFA","CURDEP","PC_HHFA","A","2007",19.31854,
"DNK","HHFA","CURDEP","PC_HHFA","A","2008",21.3,
"DNK","HHFA","CURDEP","PC_HHFA","A","2009",19.77622,
"DNK","HHFA","CURDEP","PC_HHFA","A","2010",18.7979,
"DNK","HHFA","CURDEP","PC_HHFA","A","2011",18.57742,
"DNK","HHFA","CURDEP","PC_HHFA","A","2012",17.79554,
"DNK","HHFA","CURDEP","PC_HHFA","A","2013",17.68715,
"DNK","HHFA","CURDEP","PC_HHFA","A","2014",16.73953,
"FIN","HHFA","CURDEP","PC_HHFA","A","1995",55.75123,
"FIN","HHFA","CURDEP","PC_HHFA","A","1996",50.28173,
"FIN","HHFA","CURDEP","PC_HHFA","A","1997",48.4874,
"FIN","HHFA","CURDEP","PC_HHFA","A","1998",41.15964,
"FIN","HHFA","CURDEP","PC_HHFA","A","1999",33.58773,
"FIN","HHFA","CURDEP","PC_HHFA","A","2000",30.37846,
"FIN","HHFA","CURDEP","PC_HHFA","A","2001",32.10021,
"FIN","HHFA","CURDEP","PC_HHFA","A","2002",32.98427,
"FIN","HHFA","CURDEP","PC_HHFA","A","2003",32.25465,
"FIN","HHFA","CURDEP","PC_HHFA","A","2004",31.77172,
"FIN","HHFA","CURDEP","PC_HHFA","A","2005",30.58275,
"FIN","HHFA","CURDEP","PC_HHFA","A","2006",28.49056,
"FIN","HHFA","CURDEP","PC_HHFA","A","2007",31.1483,
"FIN","HHFA","CURDEP","PC_HHFA","A","2008",39.0536,
"FIN","HHFA","CURDEP","PC_HHFA","A","2009",35.87531,
"FIN","HHFA","CURDEP","PC_HHFA","A","2010",34.17029,
"FIN","HHFA","CURDEP","PC_HHFA","A","2011",38.13954,
"FIN","HHFA","CURDEP","PC_HHFA","A","2012",35.68627,
"FIN","HHFA","CURDEP","PC_HHFA","A","2013",32.34128,
"FIN","HHFA","CURDEP","PC_HHFA","A","2014",31.50786,
"FRA","HHFA","CURDEP","PC_HHFA","A","1995",38.50412,
"FRA","HHFA","CURDEP","PC_HHFA","A","1996",36.95207,
"FRA","HHFA","CURDEP","PC_HHFA","A","1997",35.97306,
"FRA","HHFA","CURDEP","PC_HHFA","A","1998",34.9211,
"FRA","HHFA","CURDEP","PC_HHFA","A","1999",31.90811,
"FRA","HHFA","CURDEP","PC_HHFA","A","2000",30.23533,
"FRA","HHFA","CURDEP","PC_HHFA","A","2001",31.43155,
